yy,mm,dd,Time,river,week,site,loc,period,wt_lbs,wt_kg,lgth,freq,Flbin
1990,5,23,,,4,5,LOWER,AM,,,288,18,285
1990,5,23,,,4,5,LOWER,AM,,,290,28,290
1990,5,23,,,4,5,LOWER,AM,,,293,1,290
1990,5,23,,,4,5,LOWER,AM,,,295,3,295
1990,5,23,,,4,5,LOWER,AM,,,298,4,295
1990,5,23,,,4,5,LOWER,AM,,,300,2,300
1990,5,23,,,4,5,LOWER,AM,,,303,1,300
1990,5,23,,,4,5,LOWER,AM,,,305,2,305
1990,5,23,,,4,5,LOWER,AM,,,308,1,305
1990,5,24,,,4,1,LOWER,AM,,,240,1,240
1990,5,24,,,4,1,LOWER,AM,,,243,2,240
1990,5,24,,,4,1,LOWER,AM,,,245,1,245
1990,5,24,,,4,1,LOWER,AM,,,248,7,245
1990,5,24,,,4,1,LOWER,AM,,,250,7,250
1990,5,24,,,4,1,LOWER,AM,,,253,5,250
1990,5,24,,,4,1,LOWER,AM,,,258,9,255
1990,5,24,,,4,1,LOWER,AM,,,260,11,260
1990,5,24,,,4,1,LOWER,AM,,,263,7,260
1990,5,24,,,4,1,LOWER,AM,,,265,12,265
1990,5,24,,,4,1,LOWER,AM,,,268,5,265
1990,5,24,,,4,1,LOWER,AM,,,270,12,270
1990,5,24,,,4,1,LOWER,AM,,,273,11,270
1990,5,24,,,4,1,LOWER,AM,,,275,4,275
1990,5,24,,,4,1,LOWER,AM,,,278,13,275
1990,5,24,,,4,1,LOWER,AM,,,280,18,280
1990,5,24,,,4,1,LOWER,AM,,,283,3,280
1990,5,24,,,4,1,LOWER,AM,,,285,12,285
1990,5,24,,,4,1,LOWER,AM,,,288,22,285
1990,5,24,,,4,1,LOWER,AM,,,290,21,290
1990,5,24,,,4,1,LOWER,AM,,,293,1,290
1990,5,24,,,4,1,LOWER,AM,,,298,3,295
1990,5,24,,,4,1,LOWER,AM,,,305,1,305
1990,5,25,,,4,28,UPPER,AM,,,243,3,240
1990,5,25,,,4,28,UPPER,AM,,,245,2,245
1990,5,25,,,4,28,UPPER,AM,,,248,3,245
1990,5,25,,,4,28,UPPER,AM,,,250,9,250
1990,5,25,,,4,28,UPPER,AM,,,253,8,250
1990,5,25,,,4,28,UPPER,AM,,,255,1,255
1990,5,25,,,4,28,UPPER,AM,,,258,7,255
