"id","old_id"
38777,"2002052241"
38778,"2002052247"
38779,"2002052248"
38780,"2002052249"
38781,"2002052251"
38782,"2002052262"
38783,"2002052264"
38784,"2002052302"
38785,"2002052305"
38786,"2002052312"
38787,"2002052315"
38788,"2002052317"
38789,"2002052325"
38790,"2002052326"
38791,"2002052332"
38792,"2002052334"
38793,"2002052335"
38794,"2002052338"
38795,"2002052341"
38796,"2002052347"
38797,"2002052348"
38798,"2002052349"
38799,"2002052351"
38800,"2002052362"
38801,"2002052364"
38802,"2002052402"
38803,"2002052405"
38804,"2002052412"
38805,"2002052415"
38806,"2002052417"
38807,"2002052425"
38808,"2002052426"
38809,"2002052432"
38810,"2002052434"
38811,"2002052435"
38812,"2002052438"
38813,"2002052441"
38814,"2002052447"
38815,"2002052448"
38816,"2002052449"
38817,"2002052451"
38818,"2002052464"
38819,"2002052502"
38820,"2002052505"
38821,"2002052512"
38822,"2002052515"
38823,"2002052517"
38824,"2002052525"
38825,"2002052526"
38826,"2002052532"
38827,"2002052534"
38828,"2002052535"
38829,"2002052538"
38830,"2002052541"
38831,"2002052547"
38832,"2002052548"
38833,"2002052549"
38834,"2002052551"
38835,"2002052564"
38836,"2002052902"
38837,"2002052905"
38838,"2002052912"
38839,"2002052915"
38840,"2002052917"
38841,"2002052925"
38842,"2002052926"
38843,"2002052932"
38844,"2002052934"
38845,"2002052935"
38846,"2002052938"
38847,"2002052941"
38848,"2002052947"
38849,"2002052948"
38850,"2002052949"
38851,"2002052951"
38852,"2002052964"
38853,"2002053002"
38854,"2002053005"
38855,"2002053012"
38856,"2002053015"
38857,"2002053017"
38858,"2002053025"
38859,"2002053026"
38860,"2002053032"
38861,"2002053034"
38862,"2002053035"
38863,"2002053038"
38864,"2002053041"
