,sample_id,length_bin_id,count
9877,2017062112,22.5,28
9878,2017062112,23.0,37
9879,2017062112,23.5,52
9880,2017062112,24.0,29
9881,2017062112,24.5,27
9882,2017062112,25.0,27
9883,2017062112,25.5,10
9884,2017062112,26.0,5
9885,2017062112,26.5,4
9886,2017062112,27.0,2
9887,2017062112,28.0,1
9888,2017062126,20.0,2
9889,2017062126,20.5,1
9890,2017062126,21.0,3
9891,2017062126,21.5,11
9892,2017062126,22.0,16
9893,2017062126,22.5,27
9894,2017062126,23.0,36
9895,2017062126,23.5,35
9896,2017062126,24.0,32
9897,2017062126,24.5,22
9898,2017062126,25.0,15
9899,2017062126,25.5,11
9900,2017062126,26.0,10
9901,2017062126,26.5,4
9902,2017062126,27.0,2
9903,2017062126,27.5,3
9904,2017062162,20.0,2
9905,2017062162,20.5,4
9906,2017062162,21.0,8
9907,2017062162,21.5,14
9908,2017062162,22.0,21
9909,2017062162,22.5,26
9910,2017062162,23.0,43
9911,2017062162,23.5,35
9912,2017062162,24.0,32
9913,2017062162,24.5,20
9914,2017062162,25.0,17
9915,2017062162,25.5,9
9916,2017062162,26.0,4
9917,2017062162,26.5,1
9918,2017062162,27.0,1
9919,2017062326,20.0,3
9920,2017062326,20.5,3
9921,2017062326,21.0,5
9922,2017062326,21.5,9
9923,2017062326,22.0,7
9924,2017062326,22.5,29
9925,2017062326,23.0,47
9926,2017062326,23.5,45
9927,2017062326,24.0,35
9928,2017062326,24.5,24
9929,2017062326,25.0,18
9930,2017062326,25.5,1
9931,2017062326,26.0,2
9932,2017062326,27.0,2
9933,2017062362,21.0,1
9934,2017062362,21.5,3
9935,2017062362,22.0,14
9936,2017062362,22.5,22
9937,2017062362,23.0,42
9938,2017062362,23.5,55
9939,2017062362,24.0,37
9940,2017062362,24.5,22
9941,2017062362,25.0,16
9942,2017062362,25.5,4
9943,2017062362,26.0,4
9944,2017062362,26.5,3
9945,2017062726,20.0,1
9946,2017062726,20.5,2
9947,2017062726,21.0,3
9948,2017062726,21.5,6
9949,2017062726,22.0,27
9950,2017062726,22.5,49
9951,2017062726,23.0,66
9952,2017062726,23.5,33
9953,2017062726,24.0,15
9954,2017062726,24.5,8
